gene_symbol_mouse,number_tissues_cycling,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Tnc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Apoc3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Il7r,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Bcr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Cat,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,7,NULL,NULL
Cbs,4,NULL,NULL,NULL,NULL,NULL,NULL,23,4,2,20,NULL,NULL
Gpx1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Itga5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Il6st,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Sparc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Fgb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Ache,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Cd19,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,4,NULL,NULL
Des,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Lipc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Nr1h3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Ucp2,3,NULL,NULL,NULL,12,NULL,10,NULL,NULL,NULL,9,NULL,NULL
Timp2,3,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,10,2,NULL
Stat4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Fcer1g,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Casr,1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Notch2,3,NULL,NULL,21,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL
Retn,3,NULL,NULL,0,NULL,NULL,NULL,NULL,17,NULL,NULL,0,NULL
S100b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11
Kcnj6,1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Map2k1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Foxo3,3,NULL,NULL,NULL,NULL,NULL,15,NULL,12,13,NULL,NULL,NULL
Itga4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Gdnf,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Ephx1,8,NULL,12,12,10,9,12,NULL,12,NULL,11,11,NULL
Ets1,3,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,4,0,NULL
Eng,2,NULL,NULL,NULL,NULL,NULL,19,NULL,21,NULL,NULL,NULL,NULL
Itga6,5,0,NULL,3,NULL,NULL,3,NULL,22,NULL,NULL,NULL,3
Ptpn22,4,NULL,NULL,NULL,NULL,21,NULL,NULL,2,NULL,5,22,NULL
Cdkn1c,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,18,NULL,NULL
Id1,3,NULL,NULL,6,NULL,13,NULL,15,NULL,NULL,NULL,NULL,NULL
Adam17,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,19,23,NULL,NULL
Gjb1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,3,NULL,NULL,NULL
Mtr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Mll1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
G6pdx,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,23,NULL
Ccne1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Apoa5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Nfkb2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Pah,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Sdc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Nrp1,3,NULL,NULL,NULL,NULL,NULL,5,NULL,22,NULL,0,NULL,NULL
F2rl1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Erbb3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL,NULL,NULL
Fgf1,3,NULL,NULL,22,NULL,NULL,NULL,NULL,0,18,NULL,NULL,NULL
Cx3cr1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Polr2a,2,NULL,6,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL
Tshr,5,2,0,0,NULL,NULL,NULL,NULL,17,NULL,NULL,0,NULL
Xrcc3,1,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
Bace1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,22,12,4,NULL
Hprt,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Htr2c,1,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ednrb,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,12,6,NULL
Cd34,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,8,NULL,NULL
Cdkn2b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Aqp1,1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Irf3,1,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tgfb3,2,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
Angpt1,2,NULL,NULL,22,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Fga,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,23,NULL,NULL,22
Tnfsf13b,1,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ntf3,4,18,19,NULL,NULL,NULL,NULL,NULL,17,NULL,22,NULL,NULL
Igf2r,1,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angpt2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,19
Krt8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,NULL,NULL,NULL
Tgm2,3,NULL,NULL,NULL,NULL,NULL,17,NULL,0,22,NULL,NULL,NULL
Stk11,2,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Id2,5,22,NULL,NULL,3,NULL,NULL,NULL,19,0,NULL,22,NULL
Cryab,3,NULL,NULL,NULL,22,21,NULL,NULL,NULL,NULL,NULL,NULL,22
Ezr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Irs2,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,7,NULL
Pmp22,2,NULL,NULL,NULL,NULL,4,12,NULL,NULL,NULL,NULL,NULL,NULL
Cyp21a1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Cflar,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL
Gnaq,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Adm,2,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,22,NULL,NULL
Hspb1,9,22,20,21,19,19,NULL,19,18,20,19,NULL,NULL
Clock,10,22,0,1,NULL,2,0,NULL,22,23,23,1,0
Mt1,6,NULL,12,11,NULL,15,14,10,6,NULL,NULL,NULL,NULL
Olig2,1,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Psen2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Abcc1,4,NULL,NULL,16,NULL,NULL,12,7,NULL,NULL,7,NULL,NULL
Hhex,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Sftpa1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Itgal,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Inhba,1,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pkd1,2,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Prkcq,1,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Xpa,6,5,NULL,8,8,NULL,10,NULL,6,4,NULL,NULL,NULL
Akt2,2,NULL,NULL,10,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Epha4,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Itpr1,6,21,NULL,NULL,NULL,NULL,23,NULL,NULL,16,2,1,21
Myo5a,1,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dbh,1,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gck,2,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,15,NULL,NULL,NULL
Atp7a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Erbb4,4,NULL,NULL,7,NULL,NULL,12,NULL,7,7,NULL,NULL,NULL
Rps6kb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15
Scgb1a1,1,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Klk1b1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Bmpr1a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Bsg,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Lama2,2,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,7,NULL,NULL
Rel,3,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,22,22
Smarca4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,21,NULL,NULL,NULL
Klk1b4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Ncoa3,5,15,NULL,NULL,NULL,NULL,17,NULL,13,19,15,NULL,NULL
Ada,1,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL
Gpi1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Timp3,8,15,16,13,13,13,14,NULL,NULL,16,15,NULL,NULL
Per2,12,14,14,13,13,15,13,12,14,15,13,11,14
Ccr7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Cd274,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Gap43,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
C4b,1,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Calr,9,NULL,22,NULL,22,21,23,22,22,23,22,0,NULL
Dpp4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Snap25,1,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Efnb2,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Hspd1,3,19,NULL,NULL,NULL,NULL,NULL,21,21,NULL,NULL,NULL,NULL
Fgg,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,NULL,NULL,NULL
Adh1,7,NULL,NULL,13,NULL,NULL,13,NULL,16,18,14,14,18
Skp2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL
Ywhaz,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Men1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Nfatc2,1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prox1,2,NULL,NULL,21,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
Klrk1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Itga3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Tfrc,4,14,NULL,NULL,NULL,NULL,NULL,NULL,21,17,18,NULL,NULL
Npc1,6,10,NULL,9,NULL,NULL,10,NULL,NULL,9,22,7,NULL
Gria1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Hspa8,6,18,19,20,NULL,NULL,NULL,NULL,NULL,16,17,NULL,21
Epas1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Lgals1,2,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Cst3,1,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ikbkg,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Syk,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Rora,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Srf,1,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL
Alpl,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Msh6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Gata2,1,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hp,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,23,NULL
Gli2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14
Tacr1,1,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Top2a,1,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL
Itgb4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Flt4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Eln,3,NULL,22,NULL,NULL,NULL,0,NULL,NULL,NULL,23,NULL,NULL
Ccnd3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Dnmt3b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Igfbp1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Ntrk3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Lyz2,1,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pla2g4a,1,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rbpj,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Was,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
Per1,12,10,11,11,11,12,10,12,11,11,11,10,12
Htr1b,1,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thbd,5,NULL,NULL,NULL,16,NULL,18,20,19,NULL,NULL,NULL,23
Arnt,3,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,19,14,NULL,NULL
Car2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Cdh5,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Il6ra,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,12,14,NULL,12
Rarg,1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Ucp1,1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mef2c,2,NULL,NULL,NULL,22,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Mtrr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Klk1b24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL
Fhit,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Cxcl12,5,NULL,NULL,NULL,20,NULL,NULL,NULL,15,17,5,NULL,7
Pim1,3,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,21
Nat2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Lcn2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Anxa2,2,NULL,NULL,0,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Gusb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Gja5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Nr1h2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,6,11,NULL,NULL
Col4a1,6,NULL,NULL,1,NULL,NULL,2,NULL,2,NULL,4,3,2
Cdk9,3,NULL,8,8,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL
Mme,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,20,NULL,21
Hdac3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Hnf1b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Col3a1,3,NULL,NULL,0,NULL,NULL,4,NULL,NULL,NULL,2,NULL,NULL
Atp7b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Cd74,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Ilk,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Lrp5,3,21,NULL,NULL,NULL,NULL,22,NULL,NULL,0,NULL,NULL,NULL
Myo7a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Krt18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Apaf1,1,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ciita,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Dicer1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
Pdgfa,1,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scnn1a,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,23,14,NULL,NULL
Aqp4,2,NULL,NULL,NULL,NULL,4,13,NULL,NULL,NULL,NULL,NULL,NULL
Fgfr4,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hsf1,3,NULL,NULL,NULL,22,NULL,23,NULL,21,NULL,NULL,NULL,NULL
Adora1,4,NULL,NULL,11,NULL,NULL,12,NULL,NULL,9,NULL,NULL,13
Cyp2b10,4,NULL,19,19,NULL,NULL,NULL,NULL,NULL,21,14,NULL,NULL
Cacna1c,2,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Sgk1,3,NULL,NULL,NULL,12,NULL,NULL,12,16,NULL,NULL,NULL,NULL
Serpinc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Kcnma1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Park7,3,NULL,NULL,23,NULL,NULL,NULL,4,NULL,22,NULL,NULL,NULL
Dcn,2,NULL,NULL,NULL,14,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Furin,2,NULL,NULL,7,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Tsc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Tbx5,1,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL
Eda,1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd81,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Hspg2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Dag1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Atf2,2,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Cd38,3,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,19,NULL,0,NULL
Inha,2,NULL,NULL,NULL,NULL,20,17,NULL,NULL,NULL,NULL,NULL,NULL
Pdpk1,2,NULL,NULL,NULL,22,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
S100a4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Slc1a3,4,10,11,14,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Sphk1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,9,NULL,NULL
Map3k5,4,NULL,NULL,7,NULL,NULL,22,NULL,22,11,NULL,NULL,NULL
Hbegf,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nme1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Notch4,2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Xpo1,2,NULL,NULL,NULL,NULL,NULL,NULL,21,20,NULL,NULL,NULL,NULL
Ucp3,4,NULL,8,8,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,18
Abcc2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,10,NULL,NULL,NULL
Csnk2a2,2,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Bcar1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,8,7,NULL,NULL
Hsd11b1,3,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,20,17,NULL,NULL
Yy1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,11,NULL,10
Smo,2,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Txn1,1,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Igfbp5,4,0,NULL,19,NULL,NULL,NULL,NULL,1,NULL,6,NULL,NULL
Rbp4,2,NULL,NULL,21,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Adrbk1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Col18a1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,4,NULL,NULL
Ezh2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Pax5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Tpmt,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Grn,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
H2-T23,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,23,NULL
Blm,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
Elavl1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
Top1,4,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,15,14,NULL,16
Pkd2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Rbl2,3,NULL,NULL,NULL,19,NULL,NULL,19,NULL,5,NULL,NULL,NULL
Utrn,3,NULL,NULL,20,22,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sp3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Prkar1a,3,NULL,NULL,NULL,NULL,NULL,2,0,NULL,4,NULL,NULL,NULL
Ctnnd1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Axin2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Dnmt3a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Ptger4,1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Nr4a1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Prkci,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Chrna4,3,NULL,NULL,NULL,NULL,8,NULL,NULL,23,22,NULL,NULL,NULL
Enpp1,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Acan,2,NULL,15,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Prkaa1,1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ncor2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Smarcb1,2,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22,NULL,NULL,NULL
Aldh1a2,1,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bmp6,3,NULL,NULL,13,NULL,NULL,17,NULL,NULL,NULL,4,NULL,NULL
